Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,753.50,523.00,1048.00,7535.00,532.00,568.00,613.00,672.25,732.00,845.00,896.80,972.40,1032.88,141.54
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.29,0.00,1.57,2.94,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.48,1.55,0.59
HTTP Connection Overhead (ms),0.51,0.00,2.77,5.13,0.00,0.00,0.00,0.00,0.00,0.00,2.40,2.59,2.73,1.03
HTTP Connection Reused (ratio),0.80,0.00,1.00,8.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),175.85,122.04,244.34,1758.55,124.16,132.61,143.17,156.95,171.04,197.06,209.34,226.84,240.84,32.96
HTTP Data Sent (KB),2.53,2.41,2.80,25.27,2.41,2.42,2.42,2.44,2.51,2.57,2.62,2.71,2.78,0.11
HTTP DNS Lookup (ms),0.22,0.00,1.20,2.19,0.00,0.00,0.00,0.00,0.00,0.00,1.02,1.11,1.18,0.44
HTTP Duration (excl. conn) (ms),15979.77,10864.73,22331.48,159797.72,11072.28,11902.47,12940.20,14250.21,15566.22,17968.44,19009.92,20670.70,21999.32,3065.20
HTTP Receiving (ms),15865.44,10757.33,22219.22,158654.42,10962.95,11785.45,12813.57,14140.01,15454.96,17859.61,18882.61,20550.92,21885.56,3064.68
HTTP Sending (ms),0.45,0.10,1.81,4.52,0.10,0.10,0.10,0.10,0.13,0.28,1.62,1.71,1.79,0.63
HTTP Total Time (ms),15980.29,10864.73,22331.48,159802.85,11072.49,11903.53,12942.33,14250.21,15566.22,17968.44,19012.42,20671.95,21999.57,3065.23
HTTP Waiting (TTFB) (ms),113.88,106.91,127.18,1138.78,106.92,106.96,107.02,107.79,112.41,114.90,127.18,127.18,127.18,7.21
Input Sequence Length (tokens),550.00,550.00,550.00,5500.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),21.08,17.29,78.08,158437.03,18.70,18.99,19.14,19.43,21.71,22.36,22.72,23.02,24.79,2.31
Inter Token Latency (ms),21.06,20.61,21.22,210.60,20.64,20.77,20.93,21.04,21.10,21.17,21.18,21.20,21.22,0.17
Output Sequence Length (tokens),752.50,522.00,1047.00,7525.00,531.00,567.00,612.00,671.25,731.00,844.00,895.80,971.40,1031.88,141.54
Output Token Count (tokens),752.50,522.00,1047.00,7525.00,531.00,567.00,612.00,671.25,731.00,844.00,895.80,971.40,1031.88,141.54
Output Token Throughput Per User (tokens/sec/user),47.49,47.12,48.52,474.86,47.13,47.16,47.20,47.23,47.40,47.54,47.78,48.15,48.45,0.38
Prefill Throughput Per User (tokens/sec/user),4828.93,4259.37,5135.15,48289.25,4260.04,4262.73,4266.09,4778.30,4885.73,5095.74,5129.95,5132.55,5134.63,309.60
Request Latency (ms),15958.10,10844.40,22310.94,159581.01,11051.90,11881.92,12919.45,14228.47,15543.34,17945.99,18987.76,20649.35,21978.63,3064.97
Time to First Output Token (ms),114.40,107.10,129.13,1143.98,107.12,107.16,107.21,107.94,112.57,115.11,128.92,129.03,129.11,7.83
Time to First Token (ms),114.40,107.10,129.13,1143.98,107.12,107.16,107.21,107.94,112.57,115.11,128.92,129.03,129.11,7.83
Time to Second Token (ms),19.55,18.22,22.19,195.53,18.25,18.37,18.51,18.59,18.75,20.73,21.69,21.94,22.14,1.45

Metric,Value
Benchmark Duration (sec),83.72
Output Token Throughput (tokens/sec),89.88
Request Count,10.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),5500.00
Total Output Sequence Length (tokens),7525.00
Total Output Tokens (tokens),7525.00
Total Token Throughput (tokens/sec),155.57


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
